Primary Drug,Interacting Drug,Mechanism,Clinical Effect,Severity,Management
Beta-blockers,NSAIDs,Reduced antihypertensive effect,? BP,Moderate,Monitor BP
Verapamil / Diltiazem,Beta-blockers,Additive AV block,Bradycardia,Major,Avoid combination
CCBs,CYP3A4 inhibitors (azoles),? Drug levels,Hypotension,Major,Dose adjust
CCBs,CYP3A4 inducers (rifampicin),? Levels,Reduced efficacy,Moderate,Monitor BP
CCBs,Statins (simvastatin),CYP3A4 inhibition,Myopathy,Major,Limit statin dose
Nifedipine,Magnesium sulfate,Additive vasodilation,Hypotension,Moderate,Monitor
Corticosteroids,NSAIDs,Additive GI irritation,Ulcer / bleeding,Major,Avoid or PPI
Steroids,Antidiabetics,Hyperglycemia,Reduced glucose control,Moderate,Adjust dose
Steroids,CYP3A4 inhibitors,? Steroid levels,Cushingoid effects,Moderate–Major,Monitor
Steroids,Rifampicin,Enzyme induction,Reduced steroid effect,Moderate,Dose increase
Steroids,Warfarin,Variable INR effect,Bleeding or thrombosis,Moderate,Monitor INR
Thiazides,Lithium,Reduced renal clearance,Lithium toxicity,Major,Avoid or monitor
Loop diuretics,Aminoglycosides,Ototoxicity,Hearing loss,Major,Avoid combination
Potassium-sparing diuretics,ACE inhibitors,Hyperkalemia,Cardiac arrhythmia,Major,Monitor K+
Diuretics,NSAIDs,Reduced diuretic effect,Fluid retention,Moderate,Monitor
Diuretics,Digoxin,Hypokalemia,Digoxin toxicity,Major,Monitor electrolytes
PPIs (omeprazole),Clopidogrel,CYP2C19 inhibition,Reduced antiplatelet effect,Major,Use pantoprazole
Antacids,Tetracyclines,Chelation,Reduced absorption,Moderate,Separate dosing
Metoclopramide,Antipsychotics,Dopamine blockade,Extrapyramidal symptoms,Moderate,Avoid
Loperamide,CYP inhibitors,? Levels,Cardiac toxicity (high dose),Major,Avoid misuse
H2 blockers (cimetidine),Warfarin,CYP inhibition,? INR,Major,Monitor INR
Oral contraceptives,Rifampicin,CYP3A4 induction,Contraceptive failure,Major,Use alternative contraception
Oral contraceptives,Carbamazepine / Phenytoin,Enzyme induction,Reduced efficacy,Major,Use non-hormonal method
Oral contraceptives,Broad-spectrum antibiotics,Reduced enterohepatic cycling,Reduced efficacy (rare),Moderate,Backup contraception
Estrogens,Warfarin,Opposing effects on clotting,Altered INR,Moderate,Monitor INR
Levothyroxine,Iron / Calcium,Reduced absorption,Hypothyroidism,Moderate,Separate dosing
Simvastatin / Lovastatin,Azole antifungals,CYP3A4 inhibition,Rhabdomyolysis,Major,Contraindicated
Statins,Macrolides,CYP3A4 inhibition,Myopathy,Major,Avoid simvastatin
Statins,Fibrates (gemfibrozil),Additive muscle toxicity,Rhabdomyolysis,Major,Avoid high-risk combo
Statins,Ciclosporin,Reduced clearance,Myopathy,Major,Dose adjust
Atorvastatin,CYP3A4 inhibitors,? Levels,Myopathy,Moderate–Major,Monitor CK
Opioids,Benzodiazepines,Additive CNS depression,Respiratory depression,Major,Avoid
Tramadol,SSRIs,Serotonergic effect,Serotonin syndrome,Major,Monitor
Methadone,CYP3A4 inhibitors,? Levels,QT prolongation,Major,Monitor ECG
Codeine,CYP2D6 inhibitors,Reduced activation,Reduced analgesia,Moderate,Consider alternative
Opioids,Alcohol,Additive CNS depression,Coma,Major,Contraindicated
Theophylline,Ciprofloxacin,CYP1A2 inhibition,Theophylline toxicity,Major,Monitor levels
Theophylline,Rifampicin,Enzyme induction,Reduced effect,Moderate,Dose adjustment
Beta-2 agonists,Beta-blockers,Opposing pharmacologic effects,Bronchospasm,Major,Avoid non-selective BB
Inhaled steroids,CYP3A4 inhibitors,? Steroid levels,Cushingoid effects,Moderate,Monitor
Montelukast,CYP inducers,? Levels,Reduced efficacy,Mild–Moderate,Monitor
Benzodiazepines,Opioids,Additive CNS depression,Respiratory depression,Major,Avoid
Benzodiazepines,Azoles,CYP3A4 inhibition,Excess sedation,Major,Dose reduction
Z-drugs (zolpidem),Alcohol,Additive CNS depression,Impaired cognition,Moderate,Avoid
Sedatives,Antipsychotics,Additive sedation,CNS depression,Moderate,Monitor
Barbiturates,Warfarin,Enzyme induction,? INR,Major,Monitor INR
Levothyroxine,Warfarin,Increased clotting factor turnover,? INR,Major,Monitor INR
Levothyroxine,Antacids / Iron,Reduced absorption,Hypothyroidism,Moderate,Separate dosing
Antithyroid drugs,Clozapine,Agranulocytosis risk,Severe neutropenia,Major,Avoid combination
Thyroxine,Carbamazepine,Enzyme induction,? Thyroxine levels,Moderate,Monitor TSH
Tamsulosin,CYP3A4 inhibitors (ketoconazole),Reduced metabolism,Hypotension,Major,Avoid strong inhibitors
Sildenafil,Nitrates,Excess vasodilation,Severe hypotension,Major,Contraindicated
Sildenafil,Alpha-blockers,Additive BP reduction,Postural hypotension,Major,Use lowest dose
Antimuscarinics (oxybutynin),Anticholinergics,Additive effect,Urinary retention,Moderate,Monitor
Live vaccines,Immunosuppressants,Reduced immune response,Vaccine failure,Major,Avoid live vaccine
Vaccines,Corticosteroids (high dose),Immunosuppression,Reduced efficacy,Moderate–Major,Delay vaccination
Immunoglobulins,Live vaccines,Antibody interference,Reduced vaccine response,Moderate,Space administration
Iron,Tetracyclines,Chelation,Reduced antibiotic absorption,Moderate,Separate doses
Calcium,Fluoroquinolones,Chelation,Reduced absorption,Moderate,Separate dosing
Vitamin K,Warfarin,Opposing pharmacologic effect,? INR,Major,Monitor INR
Potassium supplements,ACE inhibitors,Hyperkalemia,Arrhythmia,Major,Monitor K+
Allopurinol,Azathioprine,Inhibits metabolism,Bone marrow suppression,Major,Reduce azathioprine dose
Colchicine,CYP3A4 inhibitors,? Levels,Toxicity,Major,Avoid strong inhibitors
Bisphosphonates,Calcium,Reduced absorption,Reduced efficacy,Moderate,Separate dosing
Botulinum toxin,Aminoglycosides,Neuromuscular blockade,Respiratory depression,Major,Avoid combination
QT-prolonging drugs,Other QT drugs,Additive QT prolongation,Torsades de pointes,Major,Avoid combination
Macrolides,Antipsychotics,QT prolongation,Arrhythmia,Major,Monitor ECG
Fluoroquinolones,Antiarrhythmics,Additive QT,Torsades,Major,Avoid
Methadone,CYP inhibitors,? Levels,QT prolongation,Major,ECG monitoring
